-1.0;2.2;2.2;0.03;2.1700000000000004;128.0;81.0;86.0;386.0;0.025;0.018436930721331773;-0.24557987780390816;-0.02298786440116935;0.0;128.0;0.0;0.0;-2.0;201.0;-0.0004667902132486019;-0.00017918397477264755;
-1.0;2.797483501687496;2.24;0.03;2.2100000000000004;189.0;82.0;84.0;385.0;0.025;0.017249544577065425;-0.24704208127372507;-0.02374055011795867;0.0;128.0;1.0;0.0;-2.0;201.0;-0.0009335804264972038;-0.0003583679495452951;
-1.0;2.7969742100726926;2.2800000000000002;0.03;2.2500000000000004;189.0;82.0;84.0;384.0;0.01;-0.021200364338347658;-0.262415102185797;-0.02854518799346303;0.0;127.0;1.0;0.0;-2.0;201.0;-0.0014003706397458058;-0.0005375519243179427;
-1.0;2.7968416378980767;2.3200000000000003;0.29;2.2900000000000005;189.0;81.0;84.0;383.0;0.01;-0.015960291470678154;-0.26811982367773246;-0.029795868886067035;0.0;127.0;1.0;0.01999999999998181;0.0;201.0;-0.00591267603448229;-0.0022696636804535354;
-1.0;5.296779219311483;2.3600000000000003;0.87;2.0700000000000003;189.0;82.0;84.0;383.0;0.015;0.0007317668234574984;-0.2720719299916185;-0.030384723476574057;0.0;127.0;1.0;0.03999999999996362;0.0;201.0;-0.019449592218691743;-0.007465998948860315;
-1.0;5.296567683870475;2.4000000000000004;1.19;1.5300000000000002;190.0;82.0;84.0;385.0;0.01;-0.010414586541234002;-0.28084234153654475;-0.03238034084456955;0.0;127.0;1.0;0.049999999999954525;0.0;201.0;-0.03796560401088628;-0.014573629948175335;
-1.0;5.296500502762553;2.4400000000000004;1.67;1.2500000000000004;183.0;82.0;85.0;382.0;0.01;-0.007331669232987213;-0.28581902612048793;-0.03301412488156946;0.0;127.0;1.0;0.08999999999991815;-6.0;201.0;-0.06395025921505845;-0.024548204543852717;
-1.0;5.296212672642333;2.4800000000000004;2.4;0.8100000000000005;167.0;82.0;86.0;385.0;0.015;0.007634664613610242;-0.29782510260898754;-0.03572950337421518;0.0;126.0;1.0;0.14999999999986358;-4.0;201.0;-0.1012934762749466;-0.03888292252566452;
-1.0;5.297667817538692;2.5200000000000005;2.69;0.12000000000000055;143.0;81.0;86.0;385.0;0.02;0.02010773169088819;-0.25603049121410865;-0.02200172133308825;0.0;128.0;1.0;0.21000000000003638;3.0;201.0;-0.14314899872957124;-0.054949752263611915;
-1.0;5.298455042137237;2.5600000000000005;2.64;-0.12999999999999945;134.0;81.0;87.0;388.0;0.025;0.030586185352710547;-0.22887411550162087;-0.014575074177006413;0.0;129.0;1.0;0.25;1.0;201.0;-0.1842265374954482;-0.0707179420436049;
-1.0;5.298409383884487;2.6000000000000005;2.24;-0.03999999999999959;138.0;81.0;87.0;388.0;0.03;0.03946894828216844;-0.22476835136447842;-0.01500581241049483;0.0;129.0;1.0;0.2899999999999636;7.0;201.0;-0.21908020675134382;-0.08409701215996258;
-1.0;5.29855944419367;2.6400000000000006;1.44;0.40000000000000036;154.0;80.0;87.0;386.0;0.03;0.03457515862573474;-0.21506879189992095;-0.013590149116318215;0.0;129.0;1.0;0.32999999999992724;8.0;201.0;-0.24148613698727672;-0.09269784294904966;
-1.0;5.299401229099174;2.6800000000000006;0.89;1.2400000000000007;185.0;81.0;87.0;388.0;0.035;0.043160126900587806;-0.18331974840729334;-0.005648782083264706;0.0;130.0;1.0;0.33999999999991815;11.0;202.0;-0.25523936416335075;-0.09825450741805232;
-1.0;5.299494039797442;2.7200000000000006;0.76;1.8300000000000005;191.0;79.0;86.0;389.0;0.03;0.02552810152047022;-0.17194571115174123;-0.004773209458091992;0.0;130.0;1.0;0.35999999999989996;12.0;202.0;-0.2669836929878634;-0.10299952426798717;
-1.0;5.298709995270104;2.7600000000000007;1.07;2.000000000000001;191.0;80.0;87.0;385.0;0.035;0.035922481216376215;-0.18832029166140912;-0.012169855942408804;0.0;129.0;1.0;0.37999999999988177;3.0;202.0;-0.2835184717276378;-0.10968000851723755;
-1.0;5.299054579130738;2.8000000000000007;2.23;1.7300000000000006;192.0;80.0;89.0;385.0;0.035;0.032237984973100944;-0.17304287238541374;-0.008919064804356606;0.0;130.0;1.0;0.42000000000007276;0.0;202.0;-0.31797880498903675;-0.12360288690586219;
-1.0;5.2990563018733345;2.8400000000000007;2.44;0.6100000000000008;162.0;79.0;90.0;384.0;0.045;0.05429038797848074;-0.16739854980047733;-0.008902812515712618;0.0;130.0;1.0;0.4800000000000182;0.0;202.0;-0.3556842817414195;-0.13883688837144248;
-1.0;5.298406295462997;2.880000000000001;2.74;0.44000000000000083;157.0;79.0;89.0;384.0;0.055;0.07293231038278465;-0.18261430797949763;-0.015034948462285709;0.0;129.0;1.0;0.5399999999999636;-2.0;202.0;-0.39802567776663617;-0.15594392280410233;
-1.0;5.298519862312753;2.920000000000001;2.55;0.1800000000000006;148.0;79.0;90.0;382.0;0.05;0.051345848306227744;-0.17689203517221144;-0.013963563087232681;0.0;129.0;1.0;0.599999999999909;0.0;202.0;-0.4374309915857247;-0.17186470302427848;
-1.0;5.29840268745924;2.960000000000001;2.26;0.41000000000000103;156.0;78.0;90.0;383.0;0.055;0.05857667864498217;-0.1780930187067182;-0.01506898623358242;0.0;129.0;1.0;0.6299999999998818;1.0;202.0;-0.47235491677440705;-0.18597488470961104;
-1.0;5.299711083530838;3.000000000000001;1.56;0.7400000000000011;168.0;78.0;91.0;385.0;0.06;0.06486134291598566;-0.13512161106194592;-0.0027256270675685874;0.0;131.0;1.0;0.6700000000000728;5.0;202.0;-0.4964616969931436;-0.19571465613842468;
