0.878;0.881;0.542;-359.9583
0.878;0.881;0.5414;0.0472
0.879;0.88;0.5426;0.0478
0.88;0.88;0.5498;0.0455
0.88;0.879;0.5553;0.0499
0.881;0.878;0.5645;0.0665
0.882;0.877;0.5729;0.0764
0.883;0.876;0.5842;0.0831
0.884;0.875;0.5938;0.0874
0.885;0.874;0.6046;0.0909
0.886;0.873;0.6148;0.0769
0.887;0.872;0.6203;0.0714
0.888;0.871;0.645;0.0595
0.889;0.871;0.6451;0.0474
0.889;0.87;0.6478;0.0337
0.89;0.87;0.6503;0.0233
0.89;0.869;0.6414;0.0067
0.89;0.869;0.634;-0.0116
0.89;0.869;0.6147;-0.0224
0.89;0.87;0.6;-0.0358
0.89;0.87;0.5829;-0.0325
0.889;0.87;0.5694;-0.0332
0.889;0.87;0.5627;-0.0384
0.889;0.871;0.5578;-0.0466
0.888;0.871;0.5607;-0.0598
0.887;0.872;0.5575;-0.0688
0.887;0.872;0.5616;-0.0736
0.886;0.873;0.5683;-0.0737
0.885;0.874;0.575;-0.0687
0.885;0.875;0.5847;-0.0702
0.884;0.875;0.5921;-0.0631
0.883;0.876;0.6035;-0.0546
0.883;0.876;0.6093;-0.0392
0.883;0.877;0.6291;-0.0241
0.882;0.877;0.6325;-0.0111
0.882;0.877;0.6389;-0.0029
0.882;0.877;0.6436;0.0036
0.883;0.877;0.5773;0.0072
0.883;0.876;0.6088;0.0127
0.883;0.876;0.6217;0.0234
0.883;0.876;0.6222;0.0321
0.884;0.875;0.6162;0.0391
0.884;0.875;0.615;0.0463
0.885;0.874;0.6108;0.048
0.885;0.874;0.6079;0.0422
0.886;0.873;0.6175;0.0429
0.887;0.873;0.6213;0.0357
0.887;0.872;0.6264;0.0314
0.887;0.872;0.627;0.0294
0.888;0.871;0.6291;0.0294
0.888;0.871;0.6221;0.0267
0.889;0.871;0.622;0.0211
0.889;0.87;0.6139;0.0064
0.889;0.87;0.6143;-0.0082
0.889;0.87;0.5971;-0.0094
0.889;0.87;0.5912;-0.0113
0.889;0.87;0.5954;-0.0103
0.889;0.87;0.5857;-0.0143
0.889;0.871;0.5852;-0.0251
0.888;0.871;0.5882;-0.0398
0.888;0.871;0.5917;-0.052
0.887;0.872;0.5995;-0.0654
0.886;0.873;0.6049;-0.0738
0.885;0.874;0.6133;-0.0847
0.885;0.875;0.5554;-0.0809
0.884;0.875;0.5805;-0.0694
0.883;0.876;0.602;359.9514
0.883;0.876;0.6114;-0.035
0.882;0.877;0.6222;-0.0251
0.882;0.877;0.6356;-0.0167
0.882;0.877;0.6456;-0.0093
0.882;0.877;0.6462;-0.0041
0.882;0.877;0.6565;0.0074
0.882;0.877;0.6498;0.0289
0.883;0.876;0.635;0.0408
0.883;0.876;0.6247;-359.9436
0.884;0.875;0.6038;0.0531
0.885;0.874;0.5822;0.0585
0.885;0.874;0.5618;0.0608
0.886;0.873;0.5956;0.0678
0.887;0.872;0.5591;0.0472
0.888;0.872;0.5637;0.06
0.888;0.871;0.5564;0.0456
0.889;0.87;0.5595;0.0371
0.889;0.87;0.5635;0.026
0.889;0.87;0.5707;0.0105
0.889;0.87;0.5735;-0.002
0.889;0.87;0.5892;-0.0155
0.889;0.87;0.5954;-0.0212
0.889;0.87;0.6052;-0.0231
0.889;0.87;0.6153;-0.0216
0.889;0.87;0.626;-0.0293
0.888;0.871;0.6317;-0.0388
0.888;0.871;0.6419;-0.0544
0.887;0.872;0.6421;-0.0571
0.886;0.873;0.6397;-0.064
0.886;0.873;0.6331;-0.0625
0.885;0.874;0.6268;-0.0649
0.885;0.875;0.6117;359.9507
0.884;0.875;0.6;-0.0365
0.884;0.875;0.5844;-0.0205
0.884;0.875;0.5758;-0.0086
0.884;0.875;0.5698;0.0016
0.884;0.875;0.5684;0.0083
0.884;0.875;0.5684;0.0164
0.884;0.875;0.5697;0.0235
0.884;0.875;0.5817;0.0276
0.885;0.874;0.5847;-359.9641
0.885;0.874;0.5904;0.0504
0.886;0.873;0.6045;0.0657
0.887;0.872;0.6063;0.0722
0.888;0.871;0.627;0.0854
0.889;0.87;0.6281;0.0785
0.89;0.869;0.6364;0.0772
0.891;0.868;0.6292;0.0575
0.891;0.868;0.6452;0.0457
0.892;0.867;0.6273;0.0288
0.892;0.867;0.6219;0.0191
0.892;0.867;0.6057;0.0067
0.893;0.867;0.5947;-0.0065
0.893;0.867;0.5807;-0.0107
0.892;0.867;0.5735;-0.014
0.892;0.867;0.5676;-0.0141
0.892;0.867;0.5685;-0.0094
0.892;0.867;0.5674;-0.0046
0.892;0.867;0.5811;-0.0095
0.892;0.867;0.5798;-0.0154
0.892;0.867;0.5865;-0.0254
